date,home,away,home_goals,away_goals
2016-08-19,Malaga,Osasuna,1,1
2016-08-19,Deportivo,Eibar,2,1
2016-08-20,Barcelona,Betis,6,2
2016-08-20,Granada,Villarreal,1,1
2016-08-20,Sevilla,Espanol,6,4
2016-08-21,Sporting de Gijon,Atletico de Bilbao,2,1
2016-08-21,Atletico de Madrid,Alaves,1,1
2016-08-21,Real Sociedad,Real Madrid,0,3
2016-08-22,Celta,Leganes,0,1
2016-08-22,Valencia,Las Palmas,2,4
2016-08-26,Betis,Deportivo,0,0
2016-08-26,Espanol,Malaga,2,2
2016-08-27,Leganes,Atletico de Madrid,0,0
2016-08-27,Eibar,Valencia,1,0
2016-08-27,Osasuna,Real Sociedad,0,2
2016-08-27,Real Madrid,Celta,2,1
2016-08-28,Alaves,Sporting de Gijon,0,0
2016-08-28,Atletico de Bilbao,Barcelona,0,1
2016-08-28,Villarreal,Sevilla,0,0
2016-08-28,Las Palmas,Granada,5,1
2016-09-09,Real Sociedad,Espanol,1,1
2016-09-10,Celta,Atletico de Madrid,0,4
2016-09-10,Real Madrid,Osasuna,5,2
2016-09-10,Malaga,Villarreal,0,2
2016-09-10,Sevilla,Las Palmas,2,1
2016-09-10,Barcelona,Alaves,1,2
2016-09-11,Deportivo,Atletico de Bilbao,0,1
2016-09-11,Granada,Eibar,1,2
2016-09-11,Valencia,Betis,2,3
2016-09-11,Sporting de Gijon,Leganes,2,1
2016-09-16,Betis,Granada,2,2
2016-09-17,Atletico de Madrid,Sporting de Gijon,5,0
2016-09-17,Leganes,Barcelona,1,5
2016-09-17,Eibar,Sevilla,1,1
2016-09-17,Las Palmas,Malaga,1,0
2016-09-18,Osasuna,Celta,0,0
2016-09-18,Espanol,Real Madrid,0,2
2016-09-18,Atletico de Bilbao,Valencia,2,1
2016-09-18,Villarreal,Real Sociedad,2,1
2016-09-19,Alaves,Deportivo,0,0
2016-09-20,Malaga,Eibar,2,1
2016-09-20,Sevilla,Betis,1,0
