,id_partido,temporada,division,jornada,equipo_local,equipo_visitante,goles_local,goles_visitante,fecha,timestamp,local_posicion_antes,local_posicion_despues,local_puntos,local_jugados,local_ganados,local_empatados,local_perdidos,local_goles_favor,local_goles_contra,local_puntos_antes,local_jugados_antes,local_ganados_antes,local_empatados_antes,local_perdidos_antes,local_goles_favor_antes,local_goles_contra_antes,local_racha_partidos,local_racha_gf,local_racha_gc,visitante_posicion_antes,visitante_posicion_despues,visitante_puntos,visitante_jugados,visitante_ganados,visitante_empatados,visitante_perdidos,visitante_goles_favor,visitante_goles_contra,visitante_puntos_antes,visitante_jugados_antes,visitante_ganados_antes,visitante_empatados_antes,visitante_perdidos_antes,visitante_goles_favor_antes,visitante_goles_contra_antes,visitante_racha_partidos,visitante_racha_gf,visitante_racha_gc,local_home_wins,local_draw,local_away_wins,visitante_home_wins,visitante_draw,visitante_away_wins,probs_equipo_local,probs_equipo_visitante,probs_draw
39848,50005,2021-22,1,9,Real Madrid,Atletico de Bilbao,0,0,2021-10-06,1633471200,1,1,17,8,5,2,1,22,10,17,8,5,2,1,22,10,,,,10,7,13,8,3,4,1,7,4,13,8,3,4,1,7,4,,,,0.37457027318756203,-0.27275504945946955,-0.7271201855653557,-0.5162584843181293,-0.61924121720904,0.3322675951919747,0.29421737059565667,0.21004150065975827,0.49574112874458515
39849,50006,2021-22,1,9,Levante,Getafe,0,0,2021-10-06,1633471200,17,18,4,8,0,4,4,6,13,4,8,0,4,4,6,13,,,,20,20,1,8,0,1,7,3,13,1,8,0,1,7,3,13,,,,-0.8849050233559799,0.5447537332360803,-0.2270949516025137,0.30008664231424337,-0.22403034777618633,-0.9052476213008231,0.4422533187377139,0.21591404052454746,0.3418326407377386
39850,50007,2021-22,1,9,Real Sociedad,Mallorca,0,0,2021-10-06,1633471200,2,3,17,8,5,2,1,11,7,17,8,5,2,1,11,7,,,,12,12,11,8,3,2,3,7,12,11,8,3,2,3,7,12,,,,0.42272182892104593,-0.3138563375545657,-0.830379116916072,-0.2965135915037324,-0.4232326998551253,0.03204532421973523,0.5631630308770582,0.218363822189529,0.21847314693341285
39851,50008,2021-22,1,9,Rayo Vallecano,Elche,0,0,2021-10-06,1633471200,5,6,13,8,4,1,3,13,8,13,8,4,1,3,13,8,,,,16,14,9,8,2,3,3,5,8,9,8,2,3,3,5,8,,,,0.8389256377837379,-0.8162796457956751,-0.6482427747898443,0.2788146626455377,-0.5937630870170083,-0.4837021470037039,0.6523534073127348,0.2279874455262514,0.11965914716101379
39847,50004,2021-22,1,9,Granada,Atletico de Madrid,0,0,2021-10-06,1633471200,18,17,6,8,1,3,4,6,12,6,8,1,3,4,6,12,,,,4,2,17,8,5,2,1,11,6,17,8,5,2,1,11,6,,,,-0.32828570189587475,-0.43257785606480836,0.07962226069952576,-0.15482620749706175,0.29573217687414194,-0.9175959152013192,0.288176897259574,0.5199477593739924,0.19187534336643358
39846,50003,2021-22,1,9,Celta,Sevilla,0,0,2021-10-06,1633471200,13,16,7,8,2,1,5,7,11,7,8,2,1,5,7,11,,,,3,4,14,7,4,2,1,10,3,14,7,4,2,1,10,3,,,,-0.3037940398371122,-1.0802711659030664,0.6552710828976227,0.19615412195633744,-0.6003391191952263,-0.2991278309187292,0.2905538138544799,0.4820930666949873,0.22735311945053271
39844,50001,2021-22,1,9,Alaves,Betis,0,0,2021-10-06,1633471200,19,19,3,7,1,0,6,2,12,3,7,1,0,6,2,12,,,,7,10,12,8,3,3,2,11,9,12,8,3,3,2,11,9,,,,-0.36451447344582383,-0.7421414299593789,0.3453899931871762,0.890115800133696,-0.7494993354101456,-0.7553293790566183,0.2649514704760058,0.5296331194521784,0.2054154100718158
39852,50009,2021-22,1,9,Villarreal,Osasuna,0,0,2021-10-06,1633471200,11,11,11,7,2,5,0,8,3,11,7,2,5,0,8,3,,,,9,5,14,8,4,2,2,11,11,14,8,4,2,2,11,11,,,,0.3002433997880654,-0.15097092021112943,-0.7647098798606831,-1.1212181478888297,1.1584815374027815,-0.7832863201789172,0.3270949143779594,0.4465045229992188,0.22640056262282185
39845,50002,2021-22,1,9,Barcelona,Valencia,0,0,2021-10-06,1633471200,6,9,12,7,3,3,1,11,7,12,7,3,3,1,11,7,,,,8,8,12,8,3,3,2,12,8,12,8,3,3,2,12,8,,,,0.422889401318242,-0.3674873039128673,-0.7918289716520858,-0.15898380782753052,0.3052150068686496,-0.7426092395786026,0.43157580143790847,0.19436554853596327,0.37405865002612826
39853,50015,2021-22,1,9,Espanol,Cadiz,0,0,2021-10-06,1633471200,14,13,9,8,2,3,3,6,8,9,8,2,3,3,6,8,,,,15,15,7,8,1,4,3,7,11,7,8,1,4,3,7,11,,,,0.13575540621433724,-0.41066848308172704,-0.42829390183182897,0.04619090721180886,0.11505290726472629,-0.8833248599993921,0.39035552995873435,0.28506148842659934,0.32458298161466637
