,id_partido,temporada,division,jornada,equipo_local,equipo_visitante,goles_local,goles_visitante,fecha,timestamp,local_posicion_antes,local_posicion_despues,local_puntos,local_jugados,local_ganados,local_empatados,local_perdidos,local_goles_favor,local_goles_contra,local_puntos_antes,local_jugados_antes,local_ganados_antes,local_empatados_antes,local_perdidos_antes,local_goles_favor_antes,local_goles_contra_antes,local_racha_partidos,local_racha_gf,local_racha_gc,visitante_posicion_antes,visitante_posicion_despues,visitante_puntos,visitante_jugados,visitante_ganados,visitante_empatados,visitante_perdidos,visitante_goles_favor,visitante_goles_contra,visitante_puntos_antes,visitante_jugados_antes,visitante_ganados_antes,visitante_empatados_antes,visitante_perdidos_antes,visitante_goles_favor_antes,visitante_goles_contra_antes,visitante_racha_partidos,visitante_racha_gf,visitante_racha_gc,local_home_wins,local_draw,local_away_wins,visitante_home_wins,visitante_draw,visitante_away_wins,probs_equipo_local,probs_equipo_visitante,probs_draw
39920,50005,2021-22,1,12,Levante,Granada,0,0,2021-10-31,1635631200,19,19,6,11,0,6,5,11,20,6,11,0,6,5,11,20,,,,16,17,8,10,1,5,4,8,14,8,10,1,5,4,8,14,,,,-1.196697596458997,1.0269640245994887,-0.6323577243563402,0.4308677061274292,-0.3109623958767263,-1.0225357416238319,0.1632672661019593,0.12513123486644864,0.711601499031592
39921,50006,2021-22,1,12,Sevilla,Osasuna,0,0,2021-10-31,1635631200,3,3,21,10,6,3,1,17,7,21,10,6,3,1,17,7,,,,6,7,19,11,5,4,2,14,13,19,11,5,4,2,14,13,,,,0.9593647930896552,-0.9419178627654828,-0.7299970427962176,-0.6332359376337738,0.15312817696852854,-0.36312081335988994,0.40027122418311756,0.4556576997976412,0.1440710760192413
39922,50007,2021-22,1,12,Valencia,Villarreal,0,0,2021-10-31,1635631200,10,11,13,11,3,4,4,16,17,13,11,3,4,4,16,17,,,,13,13,12,10,2,6,2,13,10,12,10,2,6,2,13,10,,,,-0.1797479171361674,-0.042916001669455896,-0.5349033470407705,0.12081289724752829,-0.25921764271901987,-0.6683909306977323,0.2491411902454769,0.17293277890191724,0.5779260308526059
39923,50008,2021-22,1,12,Rayo Vallecano,Celta,0,0,2021-10-31,1635631200,7,5,19,11,6,1,4,18,12,19,11,6,1,4,18,12,,,,14,14,10,11,3,1,7,10,14,10,11,3,1,7,10,14,,,,1.1302731394433758,-1.164436439368787,-0.8090003087620496,0.45776122806331615,-0.7710449077193514,-0.5272206652926397,0.6512245905283088,0.2526266360737979,0.09614877339789317
39919,50004,2021-22,1,12,Cadiz,Mallorca,0,0,2021-10-31,1635631200,17,18,8,11,1,5,5,10,18,8,11,1,5,5,10,18,,,,12,12,13,11,3,4,4,10,16,13,11,3,4,4,10,16,,,,-1.302575841263798,0.21948664392515704,0.20831868229812533,-0.3105374130921577,0.11109071682218505,-0.540691574185816,0.21909159270151626,0.3958790299295904,0.38502937736889326
39918,50003,2021-22,1,12,Getafe,Espanol,0,0,2021-10-31,1635631200,20,20,3,11,0,3,8,4,17,3,11,0,3,8,4,17,,,,11,10,14,11,3,5,3,11,11,14,11,3,5,3,11,11,,,,-1.1588003814070948,-0.44019814057773277,0.7888292748640537,0.4647828132581058,-0.3048046039656604,-1.0447742691069115,0.18504083789647643,0.4142537581850412,0.40070540391848253
39916,50001,2021-22,1,12,Atletico de Madrid,Betis,0,0,2021-10-31,1635631200,4,6,19,10,5,4,1,15,10,19,10,5,4,1,15,10,,,,5,4,21,11,6,3,2,19,12,21,11,6,3,2,19,12,,,,-0.06782645861478158,0.18599547915667025,-0.9232285475002896,-0.41609360412581464,-0.5106621090109522,0.14975558772669417,0.3241882151366822,0.3219137980990682,0.35389798676424944
39924,50009,2021-22,1,12,Elche,Real Madrid,0,0,2021-10-31,1635631200,15,15,10,11,2,4,5,8,13,10,11,2,4,5,8,13,,,,2,2,21,10,6,3,1,24,11,21,10,6,3,1,24,11,,,,-0.573768011494255,0.7017364528890865,-0.9401115653808936,0.8652782252191359,-1.0917441325544341,-0.6783252581070133,0.18168315816497255,0.38504012014386907,0.43327672169115844
39917,50002,2021-22,1,12,Barcelona,Alaves,0,0,2021-10-31,1635631200,9,9,15,10,4,3,3,15,11,15,10,4,3,3,15,11,,,,18,16,9,10,3,0,7,5,13,9,10,3,0,7,5,13,,,,0.47261794445272903,-0.7265461080886926,-0.5803427822481255,0.0031661662990672343,0.1574022695491103,-0.866325970678169,0.6316117731579004,0.238384170864342,0.1300040559777576
39925,50010,2021-22,1,12,Real Sociedad,Atletico de Bilbao,0,0,2021-10-31,1635631200,1,1,24,11,7,3,1,16,9,24,11,7,3,1,16,9,,,,8,8,17,10,4,5,1,10,6,17,10,4,5,1,10,6,,,,0.5662171373126913,-0.43849977953861735,-0.9113303014978859,-0.581509497822597,-0.21144194946581907,-0.05032603455072723,0.321481942478197,0.16823229882058602,0.510285758701217
